id,code,description,panel,labelPanel,genes
nx156,NX156,Analyse Exoom; DER ED syndromaal,Dermatology; Ectodermale dysplasie-skin fragiligy syndrome,,"ATP6V1B2,AXIN2,BCOR,CCBE1,CDH3,CLDN10,COG6,CTSC,DPH1,EVC,EVC2,FGFR1,FLNA,GRHL2,HPGD,IFT122,IFT43,IRF6,KCTD1,LTBP3,MBTPS2,NECTIN1,NECTIN4,NEMO,NFKBIA,ORAI1,PIGL,PORCN,PRKD1,PTHLH,RECQL4,RHBDF2,RUNX2,SATB2,SH3BP2,SMARCAD1,SMOC2,TAT,TP63,TWIST2,UBR1,USB1,WDR19,WDR35"
nx157,NX157,Analyse Exoom; OA,Developmental delay,,
nx158,NX158,Analyse Exoom; genpanel 5GPM,5GPM,,
nx160,NX160,Analyse Exoom; CHM Congenitale afwijkingen,Congenital Heart Malformations; Congenital abnormalities,,
nx161,NX161,Analyse Exoom; KinderDCM,Dilated cardiomyopathy Child,,
nx162,NX162,Analyse Exoom; Prenatale 5GPM,5GPM; prenatal,,
nx163,NX163,Analyse Exoom; diverse analyses,-,,
nx164,NX164,Analyse Exoom; HAE Angio-oedeem,Hereditary Angioedema; Angioedema,,"ANGPT1,F12,PLG,SERPING1"
nx165,NX165,Analyse Exoom; CHM Congenitale afwijkingen,Congenital Heart Malformations; Congenital abnormalities,,
nx166,NX166,Analyse Exoom; CHM Heterotaxie,Congenital Heart Malformations; Heterotaxia,,
nx167,NX167,Analyse Exoom; CHM Linkszijdige hartafwijkingen,Congenital Heart Malformations; Left-sided heart defects,,
nx168,NX168,Analyse Exoom; Dystonie,Dystonia,,
nx17,NX17,analyse NGS EPI; subpanel 6,,,
nx170,NX170,Analyse Exoom; EPI Syndromen met epilepsie en verst,Epilepsy; Syndromes with Epilepsy and mental disorder,,
nx171,NX171,Analyse Exoom; EPI Volledig Epilepsie Genpanel,Epilepsy,,
nx172,NX172,Analyse Exoom; EPI Koortsgerelateerde convulsies,Epilepsy; Fever-related seizures,,
nx174,NX174,Analyse Exoom; HVZ Aritmie,Heart and vascular disease; Arrhythmia,,
nx178,NX178,Analyse Exoom; HVZ Dyslipidemie (totaal),Heart and vascular disease; Dyslipidemia(total),,
nx180,NX180,Analyse Exoom; HVZ Hypertriglyceridemie,Heart and vascular disease; hypertriglyceridemia,,
nx184,NX184,Analyse Exoom; HVZ Hypoalfalipoproteinemie,Heart and vascular disease; Hypoalphalipoproteinemia,,
nx185,NX185,Analyse Exoom; LEVER Cholestase,LIVER; cholestase,,
nx188,NX188,Analyse Exoom; NEURO PCH,Neurology; PCH,,
