id,code,description,panel,labelPanel,genes
nx264,NX264,Analyse Exoom; NEURO Ataxie Early onset,Neurology; Ataxia Early Onset,,"AARS2,ABCB7,ABCD1,ABHD12,ACO2,ACOX1,AFG3L2,ALDH5A1,ANO10,APTX,ARHGEF2,ARSA,ATCAY,ATM,ATP1A3,ATP2B3,ATP7A,ATP7B,ATP8A2,AUH,BRAT1,C19orf12,CA8,CACNA1A,CACNA2D2,CACNB4,CAMTA1,CAPN1,CLCN2,CLN3,CLN5,CLP1,COQ8A,CSTB,CTBP1,CWF19L1,CYB5R3,CYP27A1,DKC1,DNAJC3,EBF3,EIF2B2,EIF2B3,EIF2B4,EIF2B5,ERCC2,ERCC3,ERCC6,ERCC8,FA2H,FGF14,FLVCR1,FOLR1,FXN,GALT,GDAP2,GFAP,GOSR2,GPSM2,GRID2,GRM1,GTF2H5,HEXA,HEXB,HSD17B4,IFRD1,ITPR1,KCNA1,KCNC3,KCND3,KCNJ10,KIF1A,KIF1C,L2HGDH,LAMA1,MCOLN1,MED17,MED20,MRE11,MTPAP,MTTP,MVK,NKX2-1,NPC1,NPC2,OPA1,OPHN1,PAX6,PCNA,PDHA1,PEX10,PEX7,PHYH,PIGA,PIGN,PIK3R5,PLA2G6,PLP1,PMM2,PMPCA,PNKP,PNPLA6,POLG,POLR3A,POLR3B,PPT1,PRKCG,PRRT2,PSAP,PTF1A,QARS,RNF216,ROBO3,RUBCN,SACS,SCN8A,SCYL1,SETX,SIL1,SLC17A5,SLC1A3,SLC2A1,SLC52A2,SLC9A1,SLC9A6,SNX14,SPG11,SPG7,SPTBN2,STUB1,STXBP1,SYNE1,SYNGAP1,TDP1,TDP2,TGM6,THG1L,TMEM240,TPP1,TTPA,TUBB4a,TWNK,UBA5,VAMP1,VLDLR,VPS13D,VWA3B,WASHC5,WDR73,WDR81,WFS1,WWOX,ZNF592"
nx265,NX265,Analyse Exoom; KinderDCM,Dilated cardiomyopathy Child,,
nx266,NX266,Analyse Exoom; Noonan syndroom,Heart and vascular disease; Noonan syndrome,,"BRAF,CBL,HRAS,KRAS,LZTR1,MAP2K1,MAP2K2,MAP3K7,NF1,NRAS,PTPN11,RAF1,RIT1,SHOC2,SOS1,SPRED1"
nx267,NX267,Analyse Exoom; HVZ Cardiomyopathie en Noonan syndroom,Heart and vascular disease; Cardiomyopathy and Noonan syndrome,,"ABCC9,ACTC1,ACTN2,ALPK3,ANKRD1,ANO5,BAG3,BRAF,CALR3,CAV3,CBL,CRYAB,CSRP3,CTNNA3,DES,DMD,DSC2,DSG2,DSP,DTNA,EMD,FHL1,FKTN,FLNC,GLA,HCN4,HRAS,ILK,JPH2,JUP,KRAS,LAMA4,LAMP2,LDB3,LMNA,LZTR1,MAP2K1,MAP2K2,MAP3K7,MIB1,MYBPC3,MYH6,MYH7,MYL2,MYL3,MYLK2,MYOZ1,MYOZ2,MYPN,NEXN,NF1,NRAS,PKP2,PLN,PRDM16,PRKAG2,PTPN11,RAF1,RBM20,RIT1,RYR2,SCN5A,SGCD,SHOC2,SOS1,SPRED1,TAZ,TBX20,TCAP,TMEM43,TNNC1,TNNI3,TNNT2,TPM1,TTN,TTR,TXNRD2,VCL"
nx269,NX269,Analyse Exoom; MDL Very Early Onset Inflammatory Bowel Dise,"Gastrointestinal, Liver Disorders; Very Early Onset Inflammatory Bowel Disease",,
nx27,NX27,analyse NGS; subpanel OA,,,
nx270,NX270,"Analyse Exoom, Prenatale 5GPM",5GPM; prenatal,,
nx271,NX271,Analyse Exoom; genpanel 5GPM,5GPM,,
nx272,NX272,Analyse Exoom; PCD Primaire Ciliaire Dyskinesie (PCD),Primary Ciliary Dyskinesia,,"CCDC103,CCDC39,CCDC40,CCDC65,CCNO,CFAP298,DNAAF1,DNAAF2,DNAAF3,DNAAF4,DNAAF5,DNAAF6,DNAH11,DNAH5,DNAI1,DNAI2,DNAL1,DRC1,GAS8,HYDIN,LRRC6,MCIDAS,ODAD1,ODAD2,ODAD3,RPGR,RSPH1,RSPH3,RSPH4A,RSPH9,SPAG1,ZMYND10"
nx273,NX273,Analyse Exoom; panel OA,Developmental delay,,
nx275,NX275,Analyse Exoom; LEU Leukemie - Lymfoom,,,"ACD,ANKRD26,ATG2B,CEBPA,CTC1,DDX41,DKC1,ELANE,ETV6,FANCC,GATA2,GSKIP,HAX1,NHP2,NOP10,PARN,PAX5,PTPN11,RBBP6,RTEL1,RUNX1,SBDS,SRP72,TERC,TERT,TINF2,WRAP53"
nx276,NX276,Analyse Exoom; CHM Congenitale afwijkingen,Congenital Heart Malformations; Congenital abnormalities,,
